species_name,group_name
Yellow-bellied Flycatcher,Notch
Pine Warbler,Notch
Say's Phoebe,Notch
Palm Warbler ,Notch
Black-throated Blue Warbler ,Notch
Olive-sided Flycatcher,Notch
Western Wood-Pewee,Notch
Eastern Wood-Pewee,Notch
Connecticut Warbler ,Notch
Canada Warbler ,Notch
Mourning Warbler ,Notch
Hammond's Flycatcher ,Notch
Blue-winged Warbler ,Medium
Brown Creeper ,Medium
Golden-winged Warbler,Medium
Black-and-white Warbler ,Medium
Northern Parula ,Medium
Eastern Kingbird ,Medium
Least Flycatcher,Medium
Nashville Warbler ,Medium
,
